RM,result
6.58,24.00
6.42,21.60
7.18,34.70
7.00,33.40
7.15,36.20
6.43,28.70
6.01,22.90
6.17,27.10
5.63,16.50
6.00,18.90
6.38,15.00
6.01,18.90
5.89,21.70
5.95,20.40
6.10,18.20
5.83,19.90
5.93,23.10
5.99,17.50
5.46,20.20
5.73,18.20
5.57,13.60
5.96,19.60
6.14,15.20
5.81,14.50
5.92,15.60
5.60,13.90
5.81,16.60
6.05,14.80
6.50,18.40
6.67,21.00
5.71,12.70
6.07,14.50
5.95,13.20
5.70,13.10
6.10,13.50
5.93,18.90
5.84,20.00
5.85,21.00
5.97,24.70
6.59,30.80
7.02,34.90
6.77,26.60
6.17,25.30
6.21,24.70
6.07,21.20
5.68,19.30
5.79,20.00
6.03,16.60
5.40,14.40
5.60,19.40
5.96,19.70
6.12,20.50
6.51,25.00
6.00,23.40
5.89,18.90
7.25,35.40
6.38,24.70
6.82,31.60
6.14,23.30
5.93,19.60
5.74,18.70
5.97,16.00
6.46,22.20
6.76,25.00
7.10,33.00
6.29,23.50
5.79,19.40
5.88,22.00
5.59,17.40
5.88,20.90
6.42,24.20
5.96,21.70
6.07,22.80
6.25,23.40
6.27,24.10
6.29,21.40
6.28,20.00
6.14,20.80
6.23,21.20
5.87,20.30
6.73,28.00
6.62,23.90
6.30,24.80
6.17,22.90
6.39,23.90
6.63,26.60
6.01,22.50
6.12,22.20
7.01,23.60
7.08,28.70
6.42,22.60
6.41,22.00
6.44,22.90
6.21,25.00
6.25,20.60
6.62,28.40
6.16,21.40
8.07,38.70
7.82,43.80
7.42,33.20
6.73,27.50
6.78,26.50
6.41,18.60
6.14,19.30
6.17,20.10
5.85,19.50
5.84,19.50
6.13,20.40
6.47,19.80
6.23,19.40
6.20,21.70
6.71,22.80
5.91,18.80
6.09,18.70
6.25,18.50
5.93,18.30
6.18,21.20
6.02,19.20
5.87,20.40
5.73,19.30
5.87,22.00
6.00,20.30
5.96,20.50
5.86,17.30
5.88,18.80
5.99,21.40
5.61,15.70
5.69,16.20
6.43,18.00
5.64,14.30
6.46,19.20
6.33,19.60
6.37,23.00
5.82,18.40
5.76,15.60
6.33,18.10
5.94,17.40
6.45,17.10
5.86,13.30
6.15,17.80
6.17,14.00
5.02,14.40
5.40,13.40
5.47,15.60
4.90,11.80
6.13,13.80
5.63,15.60
4.93,14.60
5.19,17.80
5.60,15.40
6.12,21.50
5.40,19.60
5.01,15.30
5.71,19.40
6.13,17.00
6.15,15.60
5.27,13.10
6.94,41.30
6.07,24.30
6.51,23.30
6.25,27.00
7.49,50.00
7.80,50.00
8.38,50.00
5.85,22.70
6.10,25.00
7.93,50.00
5.88,23.80
6.32,23.80
6.40,22.30
5.88,17.40
5.88,19.10
5.57,23.10
6.42,23.60
5.86,22.60
6.55,29.40
6.02,23.20
6.32,24.60
6.86,29.90
6.98,37.20
7.76,39.80
6.14,36.20
7.16,37.90
6.56,32.50
5.60,26.40
6.15,29.60
7.83,50.00
6.78,32.00
6.56,29.80
7.18,34.90
6.95,37.00
6.74,30.50
7.18,36.40
6.80,31.10
6.60,29.10
7.88,50.00
7.29,33.30
7.11,30.30
7.27,34.60
6.97,34.90
7.13,32.90
6.16,24.10
7.61,42.30
7.85,48.50
8.03,50.00
5.89,22.60
6.33,24.40
5.78,22.50
6.06,24.40
5.34,20.00
5.96,21.70
5.40,19.30
5.81,22.40
6.38,28.10
5.41,23.70
6.18,25.00
5.89,23.30
6.64,28.70
5.95,21.50
6.37,23.00
6.95,26.70
6.16,21.70
6.88,27.50
6.62,30.10
8.27,44.80
8.72,50.00
8.04,37.60
7.16,31.60
7.69,46.70
6.55,31.50
5.98,24.30
7.41,31.70
8.34,41.70
8.25,48.30
6.73,29.00
6.09,24.00
6.63,25.10
7.36,31.50
6.48,23.70
6.61,23.30
6.90,22.00
6.09,20.10
6.36,22.20
6.39,23.70
5.59,17.60
5.61,18.50
6.11,24.30
6.23,20.50
6.43,24.50
6.72,26.20
6.49,24.40
6.44,24.80
6.96,29.60
8.26,42.80
6.11,21.90
5.88,20.90
7.45,44.00
8.70,50.00
7.33,36.00
6.84,30.10
7.20,33.80
7.52,43.10
8.40,48.80
7.33,31.00
7.21,36.50
5.56,22.80
7.01,30.70
8.30,50.00
7.47,43.50
5.92,20.70
5.86,21.10
6.24,25.20
6.54,24.40
7.69,35.20
6.76,32.40
6.85,32.00
7.27,33.20
6.83,33.10
6.48,29.10
6.81,35.10
7.82,45.40
6.97,35.40
7.64,46.00
7.92,50.00
7.09,32.20
6.45,22.00
6.23,20.10
6.21,23.20
6.32,22.30
6.57,24.80
6.86,28.50
7.15,37.30
6.63,27.90
6.13,23.90
6.01,21.70
6.68,28.60
6.55,27.10
5.79,20.30
6.34,22.50
7.04,29.00
6.87,24.80
6.59,22.00
6.50,26.40
6.98,33.10
7.24,36.10
6.62,28.40
7.42,33.40
6.85,28.20
6.63,22.80
5.97,20.30
4.97,16.10
6.12,22.10
6.02,19.40
6.27,21.60
6.57,23.80
5.71,16.20
5.91,17.80
5.78,19.80
6.38,23.10
6.11,21.00
6.43,23.80
6.38,23.10
6.04,20.40
5.71,18.50
6.42,25.00
6.43,24.60
6.31,23.00
6.08,22.20
5.87,19.30
6.33,22.60
6.14,19.80
5.71,17.10
6.03,19.40
6.32,22.20
6.31,20.70
6.04,21.10
5.87,19.50
5.89,18.50
6.06,20.60
5.99,19.00
5.97,18.70
7.24,32.70
6.54,16.50
6.70,23.90
6.87,31.20
6.01,17.50
5.90,17.20
6.52,23.10
6.63,24.50
6.94,26.60
6.49,22.90
6.58,24.10
5.88,18.60
6.73,30.10
5.66,18.20
5.94,20.60
6.21,17.80
6.39,21.70
6.13,22.70
6.11,22.60
6.40,25.00
6.25,19.90
5.36,20.80
5.80,16.80
8.78,21.90
3.56,27.50
4.96,21.90
3.86,23.10
4.97,50.00
6.68,50.00
7.02,50.00
6.22,50.00
5.88,50.00
4.91,13.80
4.14,13.80
7.31,15.00
6.65,13.90
6.79,13.30
6.38,13.10
6.22,10.20
6.97,10.40
6.54,10.90
5.54,11.30
5.52,12.30
4.37,8.80
5.28,7.20
4.65,10.50
5.00,7.40
4.88,10.20
5.39,11.50
5.71,15.10
6.05,23.20
5.04,9.70
6.19,13.80
5.89,12.70
6.47,13.10
6.41,12.50
5.75,8.50
5.45,5.00
5.85,6.30
5.99,5.60
6.34,7.20
6.40,12.10
5.35,8.30
5.53,8.50
5.68,5.00
4.14,11.90
5.61,27.90
5.62,17.20
6.85,27.50
5.76,15.00
6.66,17.20
4.63,17.90
5.16,16.30
4.52,7.00
6.43,7.20
6.78,7.50
5.30,10.40
5.96,8.80
6.82,8.40
6.41,16.70
6.01,14.20
5.65,20.80
6.10,13.40
5.57,11.70
5.90,8.30
5.84,10.20
6.20,10.90
6.19,11.00
6.38,9.50
6.35,14.50
6.83,14.10
6.42,16.10
6.44,14.30
6.21,11.70
6.63,13.40
6.46,9.60
6.15,8.70
5.93,8.40
5.63,12.80
5.82,10.50
6.41,17.10
6.22,18.40
6.49,15.40
5.85,10.80
